"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","BOOKERCD","reason","GDLINEHI","opafy","SENTRNGE"
"40284","6","2017","120","151","18","0","0","0","1","0","0","0","1","0","0","2","0","26","0","0","5","19 61","2D1.1",2017,NA
"40285","6","2017","27.3","21","0","0","0","0","0","0","0","0","1","0","0","3","1","34","9","1","0","2 1209 60 61","2X4.1",2017,NA
"40286","6","2017","6","0","0","0","0","0","0","0","NA","0","1","0","0","1","1","25","34","0","0","","2B1.1",2017,NA
"40287","6","2017","15","18","6","0","0","0","0","0","NA","0","1","0","0","3","0","40","9","1","6","48","2L1.2",2017,NA
"40288","6","2017","26","37","0","0","0","0","0","0","1","0","1","-4","0","3","0","29","34","1","10","1 2 3 835","2D1.1",2017,NA
"40289","6","2017","5","2","5","0","0","0","0","0","NA","0","1","0","0","3","0","28","12","1","0","","2L1.2",2017,NA
"40290","6","2017","51","51","2","0","0","0","0","0","0","0","1","0","0","1","0","27","12","0","0","","2D1.1",2017,NA
"40291","10","2016","60","37","17","0","0","0","0","0","NA","0","1","0","0","1","0","57","8","0","3","2 3 4 1206 60 61 62 64","2B5.1",2017,NA
"40292","6","2017","14","8","3","0","0","0","0","0","NA","0","1","0","0","3","0","44","11","1","0","","2L1.2",2017,NA
"40293","6","2017","30","70","0","0","0","0","0","0","1","0","1","-2","0","3","0","41","10","1","6","48 2 3 4 673 730 741","2D1.1",2017,NA
"40294","6","2017","235","360","0","0","0","120","0","0","NA","0","1","0","0","1","0","24","34","0","7","2 3 4 11 61","2G2.1",2017,NA
"40295","6","2017","168","240","4","0","0","60","0","0","NA","0","3","0","0","1","0","39","16","0","7","2 1211 60 61","2G2.1",2017,NA
"40296","6","2017","30","46","1","0","0","0","0","0","NA","0","3","0","0","1","0","41","21","0","10","2 3 4 1206 15 16 17 61 64 668 673 686 741 831","2K2.1",2017,NA
"40297","6","2017","60","70","4","0","0","60","0","0","0","0","2","0","0","2","0","25","12","0","10","1206 1211 65","2D1.1",2017,NA
"40298","6","2017","41","41","0","0","0","0","0","0","NA","0","1","0","0","6","0","49","23","0","0","","2B1.1",2017,NA
"40299","6","2017","24","30","5","0","0","0","0","0","0","0","2","-4","0","1","0","20","21","0","7","500 11 60 650 673 686 730","2D1.1",2017,NA
"40300","6","2017","15","70","0","0","0","0","0","0","1","0","1","-2","0","3","0","66","32","1","6","48 11 16 17 44 61 1200 859","2D1.1",2017,NA
"40301","6","2017","46","46","12","0","0","0","0","0","NA","0","1","0","0","3","0","26","34","1","0","","2L1.2",2017,NA
"40302","10","2016","145","121","3","0","0","24","0","0","NA","1","1","0","0","2","0","37","16","0","0","","2B1.1",2017,NA
"40303","6","2017","3.95","8","3","0","0","0","0","0","NA","0","1","0","0","3","0","41","2","1","6","48","2L1.2",2017,NA
"40304","6","2017","0.03","15","0","0","0","0","0","0","NA","0","2","0","0","3","1","38","16","0","5","19","2B1.1",2017,NA
"40305","6","2017","96","101","2","1","0","60","0","0","0","0","2","0","0","2","0","25","12","0","10","2 3 4 1206 60 61 62 64 650","2D1.1",2017,NA
"40306","6","2017","60","151","14","0","0","0","1","0","NA","0","1","0","0","1","0","56","34","0","7","2 3 4 11 1211 14 15 60 61 500 669 777 826 830 848","2B3.1",2017,NA
"40307","6","2017","57","57","0","0","0","0","0","0","NA","0","2","0","0","1","0","46","21","0","0","","2G2.2",2017,NA
"40308","6","2017","4.07","15","9","0","0","0","0","0","NA","0","1","0","0","3","0","43","9","1","10","1 2 1206","2L1.2",2017,NA
"40309","6","2017","33","27","0","0","0","0","0","0","NA","0","2","0","2","2","0","44","34","0","0","","2B1.1",2017,NA
"40310","6","2017","12.03","30","0","0","0","0","0","0","NA","0","2","0","0","2","1","21","23","0","10","11 17 61 668 1205","2B3.1",2017,NA
"40311","6","2017","126","110","24","0","0","60","0","0","0","0","1","0","0","3","0","33","11","0","0","","2D1.1",2017,NA
"40312","6","2017","0","10","0","0","0","0","0","0","NA","0","2","0","0","6","1","54","23","0","10","2 3 60 61 831","2B1.1",2017,NA
"40313","10","2016","60","33","26","0","0","0","0","0","NA","0","1","0","0","1","0","32","12","0","1","1200 1200 1200","2K2.1",2017,NA
"40314","6","2017","46","37","5","0","0","0","0","0","NA","0","1","0","0","2","0","25","9","0","0","","2K2.1",2017,NA
"40315","6","2017","71","57","0","0","0","0","0","0","1","0","1","0","0","3","0","29","9","1","0","","2D1.1",2017,NA
"40316","6","2017","0","6","0","0","0","0","0","0","NA","0","2","0","0","2","0","24","34","0","7","500","2B1.1",2017,NA
"40317","6","2017","4","6","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","37","NA","1","8","703","NA",2017,NA
"40318","6","2017","30","60","9","0","0","0","0","0","NA","0","1","0","0","3","1","29","21","0","5","19","2X1.1",2017,NA
"40319","6","2017","30","30","8","0","0","0","0","0","NA","0","1","0","0","3","0","33","4","1","0","","2L1.2",2017,NA
"40320","6","2017","147","135","1","0","1","120","0","0","0","0","1","0","0","2","0","43","21","0","0","","2D1.1",2017,NA
"40321","6","2017","7","87","0","0","1","0","0","0","0","0","2","0","0","1","0","20","12","0","5","19 15 44 60 61 650 673 686 831","2D1.1",2017,NA
"40322","6","2017","6","12","0","0","0","0","0","0","NA","0","1","0","0","2","0","22","21","0","0","","2B5.1",2017,NA
"40323","6","2017","0","12","0","0","0","0","0","0","0","0","2","0","0","2","0","58","12","0","10","1206","2X4.1",2017,NA
"40324","10","2016","0","15","3","0","0","0","0","0","NA","0","2","0","0","2","0","37","24","0","10","12 16 17 18 1209 61 650 673 1203 1203","2B1.1",2017,NA
"40325","6","2017","48","37","7","0","0","0","0","0","NA","0","1","0","0","1","0","26","12","0","1","1200 1200","2K2.1",2017,NA
